"Well_ID","Row","Col","CTG","WELL_ID","Units","Concentration","Compound_ID","Patient","Description"
"E21","E",21,5896,"E21","uM",0.5,"Paclitaxel","Org64","Sample"
"E22","E",22,6259,"E22","uM",0.2,"Paclitaxel","Org64","Sample"
"E23","E",23,7479,"E23","uM",0.1,"Paclitaxel","Org64","Sample"
"F2","F",2,17614,"F02","uM",0,"TritonX","Org64","negative_control"
"F3","F",3,2298,"F03","uM",20,"Oxaliplatin","Org64","Sample"
"F4","F",4,9526,"F04","uM",10,"Oxaliplatin","Org64","Sample"
"F5","F",5,10653,"F05","uM",7.5,"Oxaliplatin","Org64","Sample"
"F6","F",6,11758,"F06","uM",5,"Oxaliplatin","Org64","Sample"
"F7","F",7,10835,"F07","uM",2,"Oxaliplatin","Org64","Sample"
"F8","F",8,13848,"F08","uM",1,"Oxaliplatin","Org64","Sample"
"F9","F",9,14447,"F09","uM",0.75,"Oxaliplatin","Org64","Sample"
"F10","F",10,15024,"F10","uM",0.5,"Oxaliplatin","Org64","Sample"
"F11","F",11,18961,"F11","uM",0.2,"Oxaliplatin","Org64","Sample"
"F12","F",12,20064,"F12","uM",0.1,"Oxaliplatin","Org64","Sample"
"F13","F",13,32887,"F13","uM",0,"TritonX","Org64","negative_control"
"F14","F",14,836,"F14","uM",20,"Topotecan","Org64","Sample"
"F15","F",15,437,"F15","uM",10,"Topotecan","Org64","Sample"
"F16","F",16,328,"F16","uM",7.5,"Topotecan","Org64","Sample"
"F17","F",17,364,"F17","uM",5,"Topotecan","Org64","Sample"
"F18","F",18,2884,"F18","uM",2,"Topotecan","Org64","Sample"
"F19","F",19,5836,"F19","uM",1,"Topotecan","Org64","Sample"
"F20","F",20,5915,"F20","uM",0.75,"Topotecan","Org64","Sample"
"F21","F",21,5937,"F21","uM",0.5,"Topotecan","Org64","Sample"
"F22","F",22,5442,"F22","uM",0.2,"Topotecan","Org64","Sample"
"F23","F",23,7292,"F23","uM",0.1,"Topotecan","Org64","Sample"
"G2","G",2,41972,"G02","uM",0,"DMSO","Org64","negative_control"
"G3","G",3,1533,"G03","uM",20,"Doxorubicin","Org64","positive_control"
"G4","G",4,546,"G04","uM",10,"Doxorubicin","Org64","positive_control"
"G5","G",5,833,"G05","uM",7.5,"Doxorubicin","Org64","positive_control"
"G6","G",6,3259,"G06","uM",5,"Doxorubicin","Org64","positive_control"
"G7","G",7,9130,"G07","uM",2,"Doxorubicin","Org64","positive_control"
"G8","G",8,11827,"G08","uM",1,"Doxorubicin","Org64","positive_control"
"G9","G",9,14082,"G09","uM",0.75,"Doxorubicin","Org64","positive_control"
"G10","G",10,18705,"G10","uM",0.5,"Doxorubicin","Org64","positive_control"
"G11","G",11,16172,"G11","uM",0.2,"Doxorubicin","Org64","positive_control"
"G12","G",12,19634,"G12","uM",0.1,"Doxorubicin","Org64","positive_control"
"G13","G",13,14159,"G13","uM",0,"DMSO","Org64","negative_control"
"G14","G",14,547,"G14","uM",20,"Mitomycin C","Org64","positive_control"
"G15","G",15,422,"G15","uM",10,"Mitomycin C","Org64","positive_control"
"G16","G",16,593,"G16","uM",7.5,"Mitomycin C","Org64","positive_control"
"G17","G",17,1001,"G17","uM",5,"Mitomycin C","Org64","positive_control"
"G18","G",18,4451,"G18","uM",2,"Mitomycin C","Org64","positive_control"
"G19","G",19,7776,"G19","uM",1,"Mitomycin C","Org64","positive_control"
"G20","G",20,7890,"G20","uM",0.75,"Mitomycin C","Org64","positive_control"
"G21","G",21,8046,"G21","uM",0.5,"Mitomycin C","Org64","positive_control"
"G22","G",22,12507,"G22","uM",0.2,"Mitomycin C","Org64","positive_control"
"G23","G",23,19659,"G23","uM",0.1,"Mitomycin C","Org64","positive_control"
"H2","H",2,23104,"H02","uM",0,"Media","Org64","negative_control"
"H3","H",3,4207,"H03","uM",20,"Gemcitabine","Org64","Sample"
"H4","H",4,5322,"H04","uM",10,"Gemcitabine","Org64","Sample"
"H5","H",5,5160,"H05","uM",7.5,"Gemcitabine","Org64","Sample"
"H6","H",6,5230,"H06","uM",5,"Gemcitabine","Org64","Sample"
"H7","H",7,5960,"H07","uM",2,"Gemcitabine","Org64","Sample"
"H8","H",8,5954,"H08","uM",1,"Gemcitabine","Org64","Sample"
"H9","H",9,5404,"H09","uM",0.75,"Gemcitabine","Org64","Sample"
"H10","H",10,5506,"H10","uM",0.5,"Gemcitabine","Org64","Sample"
"H11","H",11,5331,"H11","uM",0.2,"Gemcitabine","Org64","Sample"
"H12","H",12,5221,"H12","uM",0.1,"Gemcitabine","Org64","Sample"
"H13","H",13,14435,"H13","uM",0,"Media","Org64","negative_control"
"H14","H",14,17367,"H14","uM",5,"Cetuximab","Org64","Sample"
"H15","H",15,17499,"H15","uM",2,"Cetuximab","Org64","Sample"
"H16","H",16,16872,"H16","uM",1,"Cetuximab","Org64","Sample"
"H17","H",17,17167,"H17","uM",0.75,"Cetuximab","Org64","Sample"
"H18","H",18,19129,"H18","uM",0.5,"Cetuximab","Org64","Sample"
"H19","H",19,17488,"H19","uM",0.2,"Cetuximab","Org64","Sample"
"H20","H",20,16680,"H20","uM",0.1,"Cetuximab","Org64","Sample"
"H21","H",21,20639,"H21","uM",0.05,"Cetuximab","Org64","Sample"
"H22","H",22,20618,"H22","uM",0.02,"Cetuximab","Org64","Sample"
"H23","H",23,29956,"H23","uM",0.01,"Cetuximab","Org64","Sample"
"I2","I",2,19994,"I02","uM",0,"TritonX","Org64","negative_control"
"I3","I",3,429,"I03","uM",20,"Staurosporine","Org64","positive_control"
"I4","I",4,801,"I04","uM",10,"Staurosporine","Org64","positive_control"
"I5","I",5,777,"I05","uM",7.5,"Staurosporine","Org64","positive_control"
"I6","I",6,984,"I06","uM",5,"Staurosporine","Org64","positive_control"
"I7","I",7,1317,"I07","uM",2,"Staurosporine","Org64","positive_control"
"I8","I",8,1387,"I08","uM",1,"Staurosporine","Org64","positive_control"
"I9","I",9,1263,"I09","uM",0.75,"Staurosporine","Org64","positive_control"
"I10","I",10,1075,"I10","uM",0.5,"Staurosporine","Org64","positive_control"
"I11","I",11,1633,"I11","uM",0.2,"Staurosporine","Org64","positive_control"
"I12","I",12,2766,"I12","uM",0.1,"Staurosporine","Org64","positive_control"
"I13","I",13,10545,"I13","uM",0,"TritonX","Org64","negative_control"
"I14","I",14,7769,"I14","uM",20,"Carboplatin","Org64","Sample"
"I15","I",15,12571,"I15","uM",10,"Carboplatin","Org64","Sample"
"I16","I",16,12083,"I16","uM",7.5,"Carboplatin","Org64","Sample"
"I17","I",17,11282,"I17","uM",5,"Carboplatin","Org64","Sample"
"I18","I",18,13452,"I18","uM",2,"Carboplatin","Org64","Sample"
"I19","I",19,14034,"I19","uM",1,"Carboplatin","Org64","Sample"
"I20","I",20,17913,"I20","uM",0.75,"Carboplatin","Org64","Sample"
"I21","I",21,16269,"I21","uM",0.5,"Carboplatin","Org64","Sample"
"I22","I",22,18200,"I22","uM",0.2,"Carboplatin","Org64","Sample"
"I23","I",23,22579,"I23","uM",0.1,"Carboplatin","Org64","Sample"
"J2","J",2,23507,"J02","uM",0,"DMSO","Org64","negative_control"
"J3","J",3,12302,"J03","uM",20,"5-Fluouracil","Org64","Sample"
"J4","J",4,14307,"J04","uM",10,"5-Fluouracil","Org64","Sample"
"J5","J",5,14244,"J05","uM",7.5,"5-Fluouracil","Org64","Sample"
"J6","J",6,14078,"J06","uM",5,"5-Fluouracil","Org64","Sample"
"J7","J",7,15096,"J07","uM",2,"5-Fluouracil","Org64","Sample"
"J8","J",8,14515,"J08","uM",1,"5-Fluouracil","Org64","Sample"
"J9","J",9,16876,"J09","uM",0.75,"5-Fluouracil","Org64","Sample"
"J10","J",10,18187,"J10","uM",0.5,"5-Fluouracil","Org64","Sample"
"J11","J",11,23675,"J11","uM",0.2,"5-Fluouracil","Org64","Sample"
"J12","J",12,20761,"J12","uM",0.1,"5-Fluouracil","Org64","Sample"
"J13","J",13,14351,"J13","uM",0,"DMSO","Org64","negative_control"
"J14","J",14,8272,"J14","uM",20,"Docetaxel","Org64","Sample"
"J15","J",15,9107,"J15","uM",10,"Docetaxel","Org64","Sample"
"J16","J",16,9031,"J16","uM",7.5,"Docetaxel","Org64","Sample"
"J17","J",17,9210,"J17","uM",5,"Docetaxel","Org64","Sample"
"J18","J",18,9214,"J18","uM",2,"Docetaxel","Org64","Sample"
"J19","J",19,7885,"J19","uM",1,"Docetaxel","Org64","Sample"
"J20","J",20,6806,"J20","uM",0.75,"Docetaxel","Org64","Sample"
"J21","J",21,6942,"J21","uM",0.5,"Docetaxel","Org64","Sample"
"J22","J",22,6000,"J22","uM",0.2,"Docetaxel","Org64","Sample"
"J23","J",23,6022,"J23","uM",0.1,"Docetaxel","Org64","Sample"
"K2","K",2,27509,"K02","uM",0,"Media","Org64","negative_control"
"K3","K",3,24908,"K03","uM",20,"Leucovorin","Org64","Sample"
"K4","K",4,22548,"K04","uM",10,"Leucovorin","Org64","Sample"
"K5","K",5,20884,"K05","uM",7.5,"Leucovorin","Org64","Sample"
"K6","K",6,26032,"K06","uM",5,"Leucovorin","Org64","Sample"
"K7","K",7,23075,"K07","uM",2,"Leucovorin","Org64","Sample"
"K8","K",8,22466,"K08","uM",1,"Leucovorin","Org64","Sample"
"K9","K",9,22547,"K09","uM",0.75,"Leucovorin","Org64","Sample"
"K10","K",10,24953,"K10","uM",0.5,"Leucovorin","Org64","Sample"
"K11","K",11,24633,"K11","uM",0.2,"Leucovorin","Org64","Sample"
"K12","K",12,24861,"K12","uM",0.1,"Leucovorin","Org64","Sample"
"K13","K",13,19346,"K13","uM",0,"Media","Org64","negative_control"
"K14","K",14,6376,"K14","uM",20,"Cisplatin","Org64","Sample"
"K15","K",15,9735,"K15","uM",10,"Cisplatin","Org64","Sample"
"K16","K",16,11411,"K16","uM",7.5,"Cisplatin","Org64","Sample"
"K17","K",17,13269,"K17","uM",5,"Cisplatin","Org64","Sample"
"K18","K",18,14036,"K18","uM",2,"Cisplatin","Org64","Sample"
"K19","K",19,18225,"K19","uM",1,"Cisplatin","Org64","Sample"
"K20","K",20,20706,"K20","uM",0.75,"Cisplatin","Org64","Sample"
"K21","K",21,20649,"K21","uM",0.5,"Cisplatin","Org64","Sample"
"K22","K",22,26038,"K22","uM",0.2,"Cisplatin","Org64","Sample"
"K23","K",23,30171,"K23","uM",0.1,"Cisplatin","Org64","Sample"
"L2","L",2,15866,"L02","uM",0,"TritonX","Org64","negative_control"
"L3","L",3,6733,"L03","uM",20,"Irinotecan","Org64","Sample"
"L4","L",4,6685,"L04","uM",10,"Irinotecan","Org64","Sample"
"L5","L",5,7076,"L05","uM",7.5,"Irinotecan","Org64","Sample"
"L6","L",6,6220,"L06","uM",5,"Irinotecan","Org64","Sample"
"L7","L",7,8695,"L07","uM",2,"Irinotecan","Org64","Sample"
"L8","L",8,13032,"L08","uM",1,"Irinotecan","Org64","Sample"
"L9","L",9,13927,"L09","uM",0.75,"Irinotecan","Org64","Sample"
"L10","L",10,17880,"L10","uM",0.5,"Irinotecan","Org64","Sample"
"L11","L",11,22695,"L11","uM",0.2,"Irinotecan","Org64","Sample"
"L12","L",12,26603,"L12","uM",0.1,"Irinotecan","Org64","Sample"
"L13","L",13,13826,"L13","uM",0,"TritonX","Org64","negative_control"
"L14","L",14,9642,"L14","uM",20,"Paclitaxel","Org64","Sample"
"L15","L",15,9546,"L15","uM",10,"Paclitaxel","Org64","Sample"
"L16","L",16,8108,"L16","uM",7.5,"Paclitaxel","Org64","Sample"
"L17","L",17,8200,"L17","uM",5,"Paclitaxel","Org64","Sample"
"L18","L",18,7263,"L18","uM",2,"Paclitaxel","Org64","Sample"
"L19","L",19,6951,"L19","uM",1,"Paclitaxel","Org64","Sample"
"L20","L",20,6639,"L20","uM",0.75,"Paclitaxel","Org64","Sample"
"L21","L",21,6556,"L21","uM",0.5,"Paclitaxel","Org64","Sample"
"L22","L",22,6585,"L22","uM",0.2,"Paclitaxel","Org64","Sample"
"L23","L",23,5821,"L23","uM",0.1,"Paclitaxel","Org64","Sample"
"M2","M",2,25663,"M02","uM",0,"DMSO","Org64","negative_control"
"M3","M",3,2526,"M03","uM",20,"Oxaliplatin","Org64","Sample"
"M4","M",4,10612,"M04","uM",10,"Oxaliplatin","Org64","Sample"
"M5","M",5,14374,"M05","uM",7.5,"Oxaliplatin","Org64","Sample"
"M6","M",6,12969,"M06","uM",5,"Oxaliplatin","Org64","Sample"
"M7","M",7,15558,"M07","uM",2,"Oxaliplatin","Org64","Sample"
"M8","M",8,16688,"M08","uM",1,"Oxaliplatin","Org64","Sample"
"M9","M",9,21515,"M09","uM",0.75,"Oxaliplatin","Org64","Sample"
"M10","M",10,20492,"M10","uM",0.5,"Oxaliplatin","Org64","Sample"
"M11","M",11,27944,"M11","uM",0.2,"Oxaliplatin","Org64","Sample"
"M12","M",12,25142,"M12","uM",0.1,"Oxaliplatin","Org64","Sample"
"M13","M",13,17568,"M13","uM",0,"DMSO","Org64","negative_control"
"M14","M",14,941,"M14","uM",20,"Topotecan","Org64","Sample"
"M15","M",15,534,"M15","uM",10,"Topotecan","Org64","Sample"
"M16","M",16,365,"M16","uM",7.5,"Topotecan","Org64","Sample"
"M17","M",17,424,"M17","uM",5,"Topotecan","Org64","Sample"
"M18","M",18,2647,"M18","uM",2,"Topotecan","Org64","Sample"
"M19","M",19,5910,"M19","uM",1,"Topotecan","Org64","Sample"
"M20","M",20,6667,"M20","uM",0.75,"Topotecan","Org64","Sample"
"M21","M",21,6482,"M21","uM",0.5,"Topotecan","Org64","Sample"
"M22","M",22,5827,"M22","uM",0.2,"Topotecan","Org64","Sample"
"M23","M",23,5215,"M23","uM",0.1,"Topotecan","Org64","Sample"
"N2","N",2,23145,"N02","uM",0,"Media","Org64","negative_control"
"N3","N",3,1611,"N03","uM",20,"Doxorubicin","Org64","positive_control"
"N4","N",4,627,"N04","uM",10,"Doxorubicin","Org64","positive_control"
"N5","N",5,1314,"N05","uM",7.5,"Doxorubicin","Org64","positive_control"
"N6","N",6,3206,"N06","uM",5,"Doxorubicin","Org64","positive_control"
"N7","N",7,9869,"N07","uM",2,"Doxorubicin","Org64","positive_control"
"N8","N",8,13301,"N08","uM",1,"Doxorubicin","Org64","positive_control"
"N9","N",9,17301,"N09","uM",0.75,"Doxorubicin","Org64","positive_control"
"N10","N",10,16988,"N10","uM",0.5,"Doxorubicin","Org64","positive_control"
"N11","N",11,21177,"N11","uM",0.2,"Doxorubicin","Org64","positive_control"
"N12","N",12,14526,"N12","uM",0.1,"Doxorubicin","Org64","positive_control"
"N13","N",13,15642,"N13","uM",0,"Media","Org64","negative_control"
"N14","N",14,546,"N14","uM",20,"Mitomycin C","Org64","positive_control"
"N15","N",15,452,"N15","uM",10,"Mitomycin C","Org64","positive_control"
"N16","N",16,549,"N16","uM",7.5,"Mitomycin C","Org64","positive_control"
"N17","N",17,1057,"N17","uM",5,"Mitomycin C","Org64","positive_control"
"N18","N",18,6435,"N18","uM",2,"Mitomycin C","Org64","positive_control"
"N19","N",19,7803,"N19","uM",1,"Mitomycin C","Org64","positive_control"
"N20","N",20,10613,"N20","uM",0.75,"Mitomycin C","Org64","positive_control"
"N21","N",21,13343,"N21","uM",0.5,"Mitomycin C","Org64","positive_control"
"N22","N",22,13076,"N22","uM",0.2,"Mitomycin C","Org64","positive_control"
"N23","N",23,22975,"N23","uM",0.1,"Mitomycin C","Org64","positive_control"
"O2","O",2,24388,NA,"uM",0,"Media","Org64","negative_control"
"O3","O",3,3297,"O03","uM",20,"Gemcitabine","Org64","Sample"
"O4","O",4,4468,"O04","uM",10,"Gemcitabine","Org64","Sample"
"O5","O",5,4359,"O05","uM",7.5,"Gemcitabine","Org64","Sample"
"O6","O",6,5792,"O06","uM",5,"Gemcitabine","Org64","Sample"
"O7","O",7,5530,"O07","uM",2,"Gemcitabine","Org64","Sample"
"O8","O",8,6371,"O08","uM",1,"Gemcitabine","Org64","Sample"
"O9","O",9,6773,"O09","uM",0.75,"Gemcitabine","Org64","Sample"
"O10","O",10,5931,"O10","uM",0.5,"Gemcitabine","Org64","Sample"
"O11","O",11,5290,"O11","uM",0.2,"Gemcitabine","Org64","Sample"
"O12","O",12,4458,"O12","uM",0.1,"Gemcitabine","Org64","Sample"
"O13","O",13,21099,NA,"uM",0,"Media","Org64","negative_control"
"O14","O",14,18780,"O14","uM",5,"Cetuximab","Org64","Sample"
"O15","O",15,19407,"O15","uM",2,"Cetuximab","Org64","Sample"
"O16","O",16,18050,"O16","uM",1,"Cetuximab","Org64","Sample"
"O17","O",17,26716,"O17","uM",0.75,"Cetuximab","Org64","Sample"
"O18","O",18,23419,"O18","uM",0.5,"Cetuximab","Org64","Sample"
"O19","O",19,30064,"O19","uM",0.2,"Cetuximab","Org64","Sample"
"O20","O",20,17736,"O20","uM",0.1,"Cetuximab","Org64","Sample"
"O21","O",21,20339,"O21","uM",0.05,"Cetuximab","Org64","Sample"
"O22","O",22,25659,"O22","uM",0.02,"Cetuximab","Org64","Sample"
"O23","O",23,24791,"O23","uM",0.01,"Cetuximab","Org64","Sample"
